username,password,role,user_email
Phoebe,Phoebe@1,Support,Phoebe1@example.net
Steve,Steve@1,Support,Steve2@example.net
Tanjiro,Tanjiro@1,Support,Tanjiro3@example.net
Julie,Julie@1,Support,Julie4@example.net
Lucas,Lucas@1,Support,Lucas5@eample.net
Erica,Erica@1,Client,Erica6@email.com
Nezuko,Nezuko@1,Client,Nezuko7@email.com
Akaza,Akaza@1,Client,Akaza8@email.com
Charlotte,Charlotte@1,Client,Charlotte9@email.com
Christoper,Christoper@1,Client,Christoper10@email.com
Dustin,Dustin@1,Client,Dustin11@email.com
Ross,Ross@1,Client,Ross12@email.com
Monica,Monica@1,Client,Monica13@example.net
Jane,Jane@1,Client,Jane14@example.net
Nancy,Nancy@1,Client,Nancy15@example.net
